subject,phase,filter,r_-10s,r_-9s,r_-8s,r_-7s,r_-6s,r_-5s,r_-4s,r_-3s,r_-2s,r_-1s,r_+0s,r_+1s,r_+2s,r_+3s,r_+4s,r_+5s,r_+6s,r_+7s,r_+8s,r_+9s,r_+10s,rhomax,n_windows
8,Post,filtfilt,0.29256438916784566,0.6159491323413088,0.7788149882241152,0.720517751296028,0.44489225986668113,0.024518994958424294,-0.4178791590198728,-0.8333686662171639,-0.815616576487529,-0.5537995563976228,-0.12864680739829368,0.3273799999122276,0.6741080188466337,0.8098818029766579,0.5712962725115674,0.20736751507929774,-0.1873357532584229,-0.4955182443595555,-0.6382328058850366,-0.5949769134414742,-0.4019261438570334,0.8355234581728721,512
9,Pre,filtfilt,-0.37549102201243445,-0.22420042751886943,-0.0003529598456179506,0.21362536263486323,0.34035685967597507,0.3366501221604141,0.2097380009181713,-0.08508962315651747,-0.23622978135817624,-0.2804651705179611,-0.2063747248031553,-0.05223034637523766,0.11108628645972132,0.21104704043567415,0.16227466615163244,0.02350286697472187,-0.12757360123253036,-0.2182634812334145,-0.20280691592017736,-0.08372294676869152,0.0882414228283818,0.7716656059796645,512
9,Stim,filtfilt,0.08751241563264922,0.2754483469607811,0.3939226183688658,0.37931428813515244,0.21123868271770135,-0.06815596287856222,-0.36068646784217473,-0.5683466205186622,-0.4448299782617486,-0.13089487888463336,0.26179546624764566,0.5780216200498798,0.6829161297668469,0.5218511257453068,-0.07433322078939573,-0.48170074715435673,-0.7031924501749072,-0.6490890692995279,-0.34296603935347136,0.08851681113798832,0.4700519508511639,0.7631704048505565,640
9,Post,filtfilt,0.25397037271336,0.28419494973942294,0.20961832501397443,0.04649143725412433,-0.1516043861458077,-0.31086047196444744,-0.36503142376004283,-0.1959936899843689,0.0348660255979478,0.26713931305387734,0.4101497945713233,0.4032362171272995,0.2420670465289157,-0.01680914524260621,-0.3737596009755861,-0.45640167163829565,-0.3674892616005444,-0.14010740213263978,0.13869615244103192,0.3623396405096081,0.446787186170588,0.7261630605540546,512
10,Pre,filtfilt,0.45732888416269685,0.7978956799537894,0.8678021384036555,0.6401098249217338,0.19257171074918206,-0.32007559169547584,-0.7211309353449,-0.8383031224688184,-0.5601811514420239,-0.09979603321751224,0.3823592534680806,0.7221675237569958,0.8086085498556324,0.6206237187419774,0.004599140136433796,-0.41563040935255835,-0.6741967971177019,-0.6896711119179075,-0.46844635935174117,-0.09942877396847163,0.28035452195804084,0.8899590844884012,512
10,Stim,filtfilt,0.6184499571970923,0.8006695766605801,0.6922174238299525,0.3301673713512773,-0.1533707125184733,-0.5796303233072131,-0.7902143987774135,-0.561518685634789,-0.13132230827237953,0.3418713420285953,0.6805580613414828,0.7599242705624017,0.5546166356472406,0.14689936529697323,-0.4955557639743504,-0.7113580439367827,-0.6569929843648241,-0.3598965499981935,0.0627872633417676,0.4508012883777216,0.6618284494997754,0.8428121756353606,640
10,Post,filtfilt,-0.07674717909627624,0.35443448029341645,0.6585999258986014,0.7102803418438091,0.48329201725186605,0.06422254190075152,-0.3813585591843716,-0.7273021480443871,-0.6124486139090546,-0.2624823668590701,0.1802080906913051,0.5407976317997494,0.6832187663895526,0.5624723578427128,0.03855069122078281,-0.33495352189144606,-0.5652871905214977,-0.5792386061789847,-0.3884661910296427,-0.07641952410959622,0.23955727694879483,0.8438827102800441,512
11,Pre,filtfilt,-0.19464522258583056,-0.10687984815527757,0.07065385962685287,0.24786324186479247,0.32535503187891884,0.24558361220019104,0.02577390402094753,-0.36071156645322916,-0.48312324589016997,-0.41053367914208744,-0.16006015182646294,0.1713448525519068,0.44862430288466826,0.5579850473695608,0.33710859411873995,0.024314844044551424,-0.28086955557611093,-0.46551183781459293,-0.47387623298822656,-0.3240132599671832,-0.09099452288833454,0.694973795267565,512
11,Stim,filtfilt,0.0847110786193694,0.3183354501424769,0.4841242266583222,0.5152050098870689,0.38086603380292483,0.10630707697621888,-0.22754425885315252,-0.5941946540706411,-0.6146946896021208,-0.4265845817964416,-0.09034163548802014,0.2766630678046428,0.5443525970281536,0.6202572798331232,0.3537423658653036,0.029717606928576324,-0.274609220671875,-0.4564586100863936,-0.46848838748872923,-0.3308295652433622,-0.1146121926212329,0.7512294580782224,640
11,Post,filtfilt,-0.3848488268467972,-0.06453750909726338,0.3113662753857637,0.5929348523505711,0.6603913495812463,0.4752152369695787,0.09887817219576643,-0.5113978606291887,-0.7236612366514449,-0.6747164382871793,-0.3827878719257434,0.043132111352668534,0.44713399642109247,0.6865926625983262,0.5929229014621875,0.277381326140751,-0.11184149653354894,-0.4411435330617529,-0.6084469442508953,-0.5741589495078547,-0.3669356320947896,0.8624607811632476,512
12,Pre,filtfilt,-0.04103363426676217,0.2535895327611061,0.5342096607895581,0.6628890263155579,0.5430526895113416,0.17756792779319738,-0.31536073449985846,-0.8694522211290008,-0.8725136067633109,-0.5341759258087686,0.02557488936047964,0.5876756519036399,0.926827945316692,0.9092745113903207,0.28748055622758284,-0.2672659021037668,-0.6773097372787524,-0.7962759579889845,-0.6095583072061006,-0.22875562834981392,0.16936853112217184,0.9661127648564948,512
12,Stim,filtfilt,-0.21611295355583424,0.23982727079062008,0.6477064396125254,0.8194866554699256,0.6556136121435483,0.19930084446301236,-0.3721350622997746,-0.9300229574570243,-0.8603981725850385,-0.43573317426812785,0.1714776537304759,0.7088130127233059,0.9540740184353307,0.8116969138765299,0.06259345985342224,-0.48086204228412477,-0.7999822968828747,-0.7825092021068072,-0.46363178982901393,0.0006598137923210818,0.4105099016038872,0.9552515015437948,640
12,Post,filtfilt,0.3762914083860486,0.6596106081065596,0.7650187280696819,0.627442579042513,0.2640005087383142,-0.22082071903609152,-0.66614496855616,-0.9269803978932372,-0.7260650175025445,-0.2819457938154827,0.25425875298615297,0.698803120152951,0.9039889438189977,0.8115313718374604,0.2440477735354426,-0.21623764178786664,-0.5655381984560468,-0.7083099640457108,-0.6296993959303204,-0.3878954646543023,-0.0809448206763618,0.9217715790225873,512
